approach,id,type_question,requete_bruitee,expected_doc,hit_recall3
TF-IDF,q_001,site,False,https://coria-taln-2025.lis-lab.fr/,0
TF-IDF,q_002,site,False,https://coria-taln-2025.lis-lab.fr/dates,1
TF-IDF,q_003,site,False,https://coria-taln-2025.lis-lab.fr/informations-pratiques,0
TF-IDF,q_004,site,False,https://coria-taln-2025.lis-lab.fr/ateliers,1
TF-IDF,q_005,site,False,https://coria-taln-2025.lis-lab.fr/ateliers,1
TF-IDF,q_006,site,False,https://coria-taln-2025.lis-lab.fr/coria,1
TF-IDF,q_007,site,False,https://coria-taln-2025.lis-lab.fr/taln,1
TF-IDF,q_008,site,False,https://coria-taln-2025.lis-lab.fr/rjc-recital-rjcri,1
TF-IDF,q_009,site,False,https://coria-taln-2025.lis-lab.fr/rjc-recital-rjcri,1
TF-IDF,q_010,site,False,https://coria-taln-2025.lis-lab.fr/session-industrielle,1
TF-IDF,q_011,site,False,https://coria-taln-2025.lis-lab.fr/session-industrielle,1
TF-IDF,q_012,site,False,https://coria-taln-2025.lis-lab.fr/feuilles-de-style,1
TF-IDF,q_013,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_014,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_015,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_016,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_017,site,False,https://coria-taln-2025.lis-lab.fr/ateliers-acceptes,0
TF-IDF,q_018,site,False,https://coria-taln-2025.lis-lab.fr/actes-en-ligne,1
TF-IDF,q_019,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,0
TF-IDF,q_020,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_021,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_022,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_023,site,False,https://coria-taln-2025.lis-lab.fr/evenements,1
TF-IDF,q_024,site,False,https://coria-taln-2025.lis-lab.fr/evenements,1
TF-IDF,q_025,site,False,https://coria-taln-2025.lis-lab.fr/comite-dorganisation,1
TF-IDF,q_026,site,False,https://coria-taln-2025.lis-lab.fr/programme-salon-de-linnovation,1
TF-IDF,q_027,site,False,https://coria-taln-2025.lis-lab.fr/programme-salon-de-linnovation,1
TF-IDF,q_028,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
TF-IDF,q_029,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
TF-IDF,q_030,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
TF-IDF,q_031,site,True,https://coria-taln-2025.lis-lab.fr/dates,0
TF-IDF,q_032,site,True,https://coria-taln-2025.lis-lab.fr/inscription,1
TF-IDF,q_033,site,True,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
TF-IDF,q_034,site,True,https://coria-taln-2025.lis-lab.fr/evenements,1
TF-IDF,q_035,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
TF-IDF,q_036,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/101.pdf,1
TF-IDF,q_037,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/102.pdf,1
TF-IDF,q_038,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/104.pdf,1
TF-IDF,q_039,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/105.pdf,1
TF-IDF,q_040,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/106.pdf,1
TF-IDF,q_041,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/108.pdf,1
TF-IDF,q_042,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/109.pdf,1
TF-IDF,q_043,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/111.pdf,1
TF-IDF,q_044,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/112.pdf,0
TF-IDF,q_045,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/113.pdf,1
TF-IDF,q_046,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/114.pdf,1
TF-IDF,q_047,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/115.pdf,1
TF-IDF,q_048,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/116.pdf,1
TF-IDF,q_049,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/117.pdf,1
TF-IDF,q_050,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/119.pdf,1
TF-IDF,q_051,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/12.pdf,1
TF-IDF,q_052,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/123.pdf,1
TF-IDF,q_053,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/126.pdf,1
TF-IDF,q_054,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/129.pdf,1
TF-IDF,q_055,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/13.pdf,1
TF-IDF,q_056,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/130.pdf,1
TF-IDF,q_057,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/131.pdf,1
TF-IDF,q_058,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/132.pdf,1
TF-IDF,q_059,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/133.pdf,1
TF-IDF,q_060,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/138.pdf,1
TF-IDF,q_061,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/14.pdf,1
TF-IDF,q_062,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/141.pdf,1
TF-IDF,q_063,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/142.pdf,1
TF-IDF,q_064,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/143.pdf,1
TF-IDF,q_065,article_titre,True,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
TF-IDF,q_066,article_titre,True,https://talnarchives.atala.org/TALN/TALN-2025/109.pdf,1
TF-IDF,q_067,article_titre,True,https://talnarchives.atala.org/TALN/TALN-2025/152.pdf,1
TF-IDF,q_068,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
TF-IDF,q_069,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/101.pdf,1
TF-IDF,q_070,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/102.pdf,1
TF-IDF,q_071,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/104.pdf,1
TF-IDF,q_072,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/105.pdf,1
TF-IDF,q_073,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/106.pdf,1
TF-IDF,q_074,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/108.pdf,1
TF-IDF,q_075,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/109.pdf,1
TF-IDF,q_076,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/112.pdf,1
TF-IDF,q_077,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/113.pdf,0
TF-IDF,q_078,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/114.pdf,1
TF-IDF,q_079,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/116.pdf,1
TF-IDF,q_080,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/117.pdf,1
TF-IDF,q_081,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/119.pdf,1
TF-IDF,q_082,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/12.pdf,1
TF-IDF,q_083,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/123.pdf,1
TF-IDF,q_084,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/129.pdf,1
TF-IDF,q_085,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/13.pdf,1
TF-IDF,q_086,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/130.pdf,1
TF-IDF,q_087,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/131.pdf,1
TF-IDF,q_088,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/133.pdf,1
TF-IDF,q_089,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/138.pdf,1
TF-IDF,q_090,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/14.pdf,1
TF-IDF,q_091,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/141.pdf,1
TF-IDF,q_092,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/143.pdf,1
TF-IDF,q_093,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/149.pdf,1
TF-IDF,q_094,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/152.pdf,1
TF-IDF,q_095,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/156.pdf,1
TF-IDF,q_096,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/159.pdf,1
TF-IDF,q_097,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/160.pdf,1
TF-IDF,q_098,article_contenu,True,https://talnarchives.atala.org/RECITAL/RECITAL-2025/145.pdf,1
TF-IDF,q_099,article_contenu,True,https://talnarchives.atala.org/TALN/TALN-2025/19.pdf,1
TF-IDF,q_100,article_contenu,True,https://talnarchives.atala.org/TALN/TALN-2025/98.pdf,1
BM25,q_001,site,False,https://coria-taln-2025.lis-lab.fr/,0
BM25,q_002,site,False,https://coria-taln-2025.lis-lab.fr/dates,1
BM25,q_003,site,False,https://coria-taln-2025.lis-lab.fr/informations-pratiques,0
BM25,q_004,site,False,https://coria-taln-2025.lis-lab.fr/ateliers,1
BM25,q_005,site,False,https://coria-taln-2025.lis-lab.fr/ateliers,1
BM25,q_006,site,False,https://coria-taln-2025.lis-lab.fr/coria,1
BM25,q_007,site,False,https://coria-taln-2025.lis-lab.fr/taln,1
BM25,q_008,site,False,https://coria-taln-2025.lis-lab.fr/rjc-recital-rjcri,1
BM25,q_009,site,False,https://coria-taln-2025.lis-lab.fr/rjc-recital-rjcri,1
BM25,q_010,site,False,https://coria-taln-2025.lis-lab.fr/session-industrielle,1
BM25,q_011,site,False,https://coria-taln-2025.lis-lab.fr/session-industrielle,1
BM25,q_012,site,False,https://coria-taln-2025.lis-lab.fr/feuilles-de-style,1
BM25,q_013,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
BM25,q_014,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
BM25,q_015,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
BM25,q_016,site,False,https://coria-taln-2025.lis-lab.fr/inscription,1
BM25,q_017,site,False,https://coria-taln-2025.lis-lab.fr/ateliers-acceptes,1
BM25,q_018,site,False,https://coria-taln-2025.lis-lab.fr/actes-en-ligne,1
BM25,q_019,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,0
BM25,q_020,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
BM25,q_021,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
BM25,q_022,site,False,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
BM25,q_023,site,False,https://coria-taln-2025.lis-lab.fr/evenements,1
BM25,q_024,site,False,https://coria-taln-2025.lis-lab.fr/evenements,1
BM25,q_025,site,False,https://coria-taln-2025.lis-lab.fr/comite-dorganisation,1
BM25,q_026,site,False,https://coria-taln-2025.lis-lab.fr/programme-salon-de-linnovation,1
BM25,q_027,site,False,https://coria-taln-2025.lis-lab.fr/programme-salon-de-linnovation,1
BM25,q_028,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
BM25,q_029,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
BM25,q_030,site,False,https://coria-taln-2025.lis-lab.fr/programme-detaille,1
BM25,q_031,site,True,https://coria-taln-2025.lis-lab.fr/dates,1
BM25,q_032,site,True,https://coria-taln-2025.lis-lab.fr/inscription,1
BM25,q_033,site,True,https://coria-taln-2025.lis-lab.fr/conference-invitees,1
BM25,q_034,site,True,https://coria-taln-2025.lis-lab.fr/evenements,1
BM25,q_035,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
BM25,q_036,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/101.pdf,1
BM25,q_037,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/102.pdf,1
BM25,q_038,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/104.pdf,1
BM25,q_039,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/105.pdf,1
BM25,q_040,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/106.pdf,1
BM25,q_041,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/108.pdf,1
BM25,q_042,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/109.pdf,1
BM25,q_043,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/111.pdf,1
BM25,q_044,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/112.pdf,1
BM25,q_045,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/113.pdf,1
BM25,q_046,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/114.pdf,1
BM25,q_047,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/115.pdf,1
BM25,q_048,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/116.pdf,1
BM25,q_049,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/117.pdf,1
BM25,q_050,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/119.pdf,1
BM25,q_051,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/12.pdf,1
BM25,q_052,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/123.pdf,1
BM25,q_053,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/126.pdf,1
BM25,q_054,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/129.pdf,1
BM25,q_055,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/13.pdf,1
BM25,q_056,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/130.pdf,1
BM25,q_057,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/131.pdf,1
BM25,q_058,article_titre,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/132.pdf,1
BM25,q_059,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/133.pdf,1
BM25,q_060,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/138.pdf,1
BM25,q_061,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/14.pdf,1
BM25,q_062,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/141.pdf,1
BM25,q_063,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/142.pdf,1
BM25,q_064,article_titre,False,https://talnarchives.atala.org/TALN/TALN-2025/143.pdf,1
BM25,q_065,article_titre,True,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
BM25,q_066,article_titre,True,https://talnarchives.atala.org/TALN/TALN-2025/109.pdf,1
BM25,q_067,article_titre,True,https://talnarchives.atala.org/TALN/TALN-2025/152.pdf,1
BM25,q_068,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/10.pdf,1
BM25,q_069,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/101.pdf,1
BM25,q_070,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/102.pdf,1
BM25,q_071,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/104.pdf,1
BM25,q_072,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/105.pdf,1
BM25,q_073,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/106.pdf,1
BM25,q_074,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/108.pdf,1
BM25,q_075,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/109.pdf,1
BM25,q_076,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/112.pdf,1
BM25,q_077,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/113.pdf,1
BM25,q_078,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/114.pdf,1
BM25,q_079,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/116.pdf,1
BM25,q_080,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/117.pdf,1
BM25,q_081,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/119.pdf,1
BM25,q_082,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/12.pdf,1
BM25,q_083,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/123.pdf,1
BM25,q_084,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/129.pdf,1
BM25,q_085,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/13.pdf,1
BM25,q_086,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/130.pdf,1
BM25,q_087,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/131.pdf,1
BM25,q_088,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/133.pdf,1
BM25,q_089,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/138.pdf,1
BM25,q_090,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/14.pdf,1
BM25,q_091,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/141.pdf,1
BM25,q_092,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/143.pdf,1
BM25,q_093,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/149.pdf,1
BM25,q_094,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/152.pdf,1
BM25,q_095,article_contenu,False,https://talnarchives.atala.org/RECITAL/RECITAL-2025/156.pdf,1
BM25,q_096,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/159.pdf,1
BM25,q_097,article_contenu,False,https://talnarchives.atala.org/TALN/TALN-2025/160.pdf,1
